func_group,smiles,sas,scs,mpscore,sas_norm,scs_norm
aldehyde,O=Cc1ccc(-c2nc(-c3ccc(C=O)cc3)nc(-c3ccc(C=O)cc3)n2)cc1,6.518072712623623,2.7725382638937113,0.07596598231616936,0.6131191902915137,0.4431345659734278
aldehyde,COc1c(C=O)c(OC)c(C=O)c(OC)c1C=O,6.425561907933465,1.8094573852318105,0.5441291592790563,0.6028402119926073,0.20236434630795264
aldehyde,CC(C)(C)c1cc(C#Cc2cc(C#Cc3cc(C=O)c(O)c(C(C)(C)C)c3)cc(C#Cc3cc(C=O)c(O)c(C(C)(C)C)c3)c2)cc(C=O)c1O,7.8652835012839475,2.2992604674300092,0.30442522687180107,0.7628092779204386,0.3248151168575023
aldehyde,O=Cc1ccccc1OCCN(CCOc1ccccc1C=O)CCOc1ccccc1C=O,2.8829469166224326,2.113879232518216,0.571617555596848,0.2092163240691592,0.278469808129554
aldehyde,O=Cc1ccc(OP(=O)(Oc2ccc(C=O)cc2)Oc2ccc(C=O)cc2)cc1,6.831338420822444,1.8780993543171307,0.13869468380734695,0.6479264912024938,0.21952483857928268
aldehyde,COC(=O)C(CC=O)(CC=O)CC=O,6.938220234410484,1.7999376553497997,0.9034240895953152,0.6598022482678316,0.19998441383744991
aldehyde,CCc1c(COc2ccccc2C=O)c(CC)c(COc2ccccc2C=O)c(CC)c1COc1ccccc1C=O,7.382299776674982,2.0805958864667096,0.6757614301122787,0.7091444196305535,0.2701489716166774
aldehyde,O=Cc1ccccc1B1OB(c2ccccc2C=O)OB(c2ccccc2C=O)O1,7.108960866766049,1.7965679094478277,0.38025786462624644,0.6787734296406721,0.19914197736195693
aldehyde,COc1c2cc(C=O)cc1Cc1cc(C(C)(C)C)cc(c1OC)Cc1cc(C=O)cc(c1OC)Cc1cc(C(C)(C)C)cc(c1OC)Cc1cc(C=O)cc(c1OC)Cc1cc(C(C)(C)C)cc(c1OC)C2,9.59504582436244,2.5299594618477665,0.7649958536570985,0.9550050915958267,0.38248986546194164
aldehyde,O=Cc1cccc(C=O)c1C=O,6.0920297328268695,1.5633131808627934,0.38355621994771416,0.5657810814252078,0.14082829521569834
aldehyde,COc1cc(C=O)ccc1OP(=O)(Oc1ccc(C=O)cc1OC)Oc1ccc(C=O)cc1OC,7.320123412170092,1.6665983039744012,0.571617555596848,0.7022359346855658,0.1666495759936003
aldehyde,CCC1(CC)c2cc(C=O)ccc2-c2c(C=O)cc(C=O)cc21,7.4477427757250565,3.157513408310301,0.7034266883345457,0.7164158639694507,0.5393783520775752
aldehyde,O=Cc1cc(C=O)c(Cl)c(C=O)c1Cl,5.152369272145761,1.9292728146562266,0.8026944549150175,0.46137436357175127,0.23231820366405664
aldehyde,O=Cc1cc(C=O)nc(C=O)n1,5.413344347768595,2.5799231353729004,0.8359833779538994,0.49037159419651055,0.3949807838432251
aldehyde,COc1cc(C=O)cc([N+](=O)[O-])c1Oc1nc(Oc2c(OC)cc(C=O)cc2[N+](=O)[O-])nc(Oc2c(OC)cc(C=O)cc2[N+](=O)[O-])n1,6.685635291677151,2.2709498545621303,0.6757614301122787,0.6317372546307946,0.31773746364053257
aldehyde,O=Cc1ccc(OP(=S)(Oc2ccc(C=O)cc2)Oc2ccc(C=O)cc2)cc1,6.982139188599105,1.707822608072969,0.16705426554911929,0.6646821320665672,0.17695565201824226
aldehyde,O=CC(C=O)C=O,6.075377259374153,1.355328128975318,0.8765295920834956,0.5639308065971281,0.08883203224382952
aldehyde,O=Cc1csc(C=O)c1C=O,5.592495062123755,1.4220895552824355,0.8197563036425722,0.5102772291248616,0.10552238882060888
aldehyde,Cc1c(Cc2ccc(C=O)cc2)c(C)c(Cc2ccc(C=O)cc2)c(C)c1Cc1ccc(C=O)cc1,4.576246780673926,2.741535126701142,0.460717889616696,0.397360753408214,0.43538378167528546
aldehyde,O=Cc1ccc(Oc2nc(Oc3ccc(C=O)cc3)nc(Oc3ccc(C=O)cc3)n2)cc1,6.508057670933748,1.7547627145454783,0.3576616760752843,0.6120064078815275,0.18869067863636957
aldehyde,O=Cc1ccc(N(c2ccc(C=O)cc2)c2ccc(C=O)cc2)cc1,6.935034786456704,2.0120526638141145,0.029262382799522313,0.6594483096063004,0.25301316595352863
aldehyde,O=CCC(C=O)C(O)C=O,7.68024199334973,1.9708490917768322,0.935386777887213,0.7422491103721922,0.24271227294420805
aldehyde,C[C@H](CCCOC(c1ccccc1)(c1ccccc1)c1ccccc1)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](OCC=O)[C@@]21C)[C@@]1(C)CC[C@@H](OCC=O)C[C@H]1C[C@H]3OCC=O,9.473894244752287,3.3183354752512764,0.9393996767720357,0.9415438049724764,0.5795838688128191
aldehyde,Cc1c(COc2ccc(C=O)cc2)c(C)c(COc2ccc(C=O)cc2)c(C)c1COc1ccc(C=O)cc1,5.2486197531614796,1.9288128803800615,0.5485488401460481,0.47206886146238664,0.23220322009501537
aldehyde,O=Cc1cccc(Oc2nc(Oc3cccc(C=O)c3)nc(Oc3cccc(C=O)c3)n2)c1,6.563471853169273,1.805350324578467,0.5441291592790563,0.6181635392410303,0.20133758114461675
