smiles,sas,scs,chemist_score,sas_norm,scs_norm
OCc1ccc(C(=C(c2ccc(CO)cc2)c2ccc(CO)cc2)c2ccc(CO)cc2)cc1,5.47322839290678,2.1210777178899907,1,0.4970253769896422,0.28026942947249767
OCc1ccc(-c2c3nc(c(-c4ccc(CO)cc4)c4ccc([nH]4)c(-c4ccc(CO)cc4)c4nc(c(-c5ccc(CO)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,8.976256883315813,3.538706511935283,1,0.8862507648128681,0.6346766279838207
OCc1cc(C#Cc2cccc(C#Cc3cc(CO)cc(CO)c3)c2)cc(CO)c1,7.63777195869886,2.35455554077008,1,0.7375302176332066,0.33863888519251995
O=C(O)c1ccc(N(c2ccc(C(=O)O)cc2)N(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1,7.240852377556353,2.0312537101783925,1,0.6934280419507058,0.25781342754459813
O=C(O)c1ccc(C#Cc2nc(C#Cc3ccc(C(=O)O)cc3)c(C#Cc3ccc(C(=O)O)cc3)nc2C#Cc2ccc(C(=O)O)cc2)cc1,7.146970503422482,2.7534266301056656,1,0.682996722602498,0.4383566575264164
O=C(O)c1ccc(N(c2ccc(C(=O)O)cc2)c2ccc(-c3ccc(N(c4ccc(C(=O)O)cc4)c4ccc(C(=O)O)cc4)cc3)cc2)cc1,7.934372235152111,3.0910038587646613,1,0.7704858039057901,0.5227509646911653
O=C(O)c1cc(C(=O)O)cc(-c2ccc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc2)c1,6.521716185412921,2.7796861952836065,1,0.6135240206014356,0.4449215488209016
Fc1ccc(-c2cc(-c3ccc(F)cc3)nc(-c3ccc(F)cc3)c2)cc1,6.676145297785213,2.8080026661317996,1,0.6306828108650238,0.4520006665329499
FN1CN(F)CN(F)C1,7.0388611208828795,1.7564411378647484,0,0.6709845689869867,0.1891102844661871
Cc1c(F)c(C)c(F)c(C)c1F,6.090602826069637,1.7674841588381631,1,0.5656225362299597,0.19187103970954078
C[Si](c1ccc(F)cc1)(c1ccc(F)cc1)c1ccc(F)cc1,7.125542726499169,1.6595946875930219,1,0.6806158584999076,0.16489867189825547
Fc1ccc2c(F)cc(F)cc2c1,5.875746568530806,2.2299172273354344,0,0.5417496187256451,0.3074793068338586
Oc1c(F)cc(F)c(O)c1F,5.298488277999831,1.6378780170229534,1,0.4776098086666479,0.15946950425573836
Fc1cc(F)cc(C#Cc2cc(F)cc(F)c2)c1,5.572260068110217,2.1207382661095306,1,0.5080288964566908,0.28018456652738266
Fc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccc(F)cc3)nc2-c2ccc(F)cc2)cc1,6.537888515413032,2.282709598597619,1,0.6153209461570035,0.3206773996494048
Fc1cc(F)cc(C#Cc2cccc(C#Cc3cc(F)cc(F)c3)c2)c1,6.051524282332603,2.611885703017574,1,0.5612804758147337,0.4029714257543935
Fc1ccc(-c2c3nc(c(-c4ccc(F)cc4)c4ccc([nH]4)c(-c4ccc(F)cc4)c4nc(c(-c5ccc(F)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,8.409553894917558,3.5968438467183588,1,0.8232837661019509,0.6492109616795897
Nc1ccc2c(ccc3cc(N)ccc32)c1,7.046665845322756,2.3869465416897544,1,0.6718517605914173,0.3467366354224386
Nc1ccc(-c2sc(-c3ccc(N)cc3)c(-c3ccc(N)cc3)c2-c2ccc(N)cc2)cc1,7.625536192733299,2.953315475367079,1,0.7361706880814777,0.48832886884176974
