O=Cc1csc(C=O)c1C=O,C=CCC(N)(CC=C)c1ccc(C(N)(CC=C)CC=C)cc1
COc1c(C=O)c(OC)c(C=O)c(OC)c1C=O,NCC[S+]([O-])CCN
O=Cc1ccc(OP(=O)(Oc2ccc(C=O)cc2)Oc2ccc(C=O)cc2)cc1,NCC[S+]([O-])CCN
COC(=O)C(CC=O)(CC=O)CC=O,NCC[S+]([O-])CCN
O=Cc1ccccc1B1OB(c2ccccc2C=O)OB(c2ccccc2C=O)O1,NCC[S+]([O-])CCN
O=Cc1cccc(C=O)c1C=O,NCC[S+]([O-])CCN
COc1cc(C=O)ccc1OP(=O)(Oc1ccc(C=O)cc1OC)Oc1ccc(C=O)cc1OC,NCC[S+]([O-])CCN
O=Cc1ccc(OP(=S)(Oc2ccc(C=O)cc2)Oc2ccc(C=O)cc2)cc1,NCC[S+]([O-])CCN
O=Cc1ccc(Oc2nc(Oc3ccc(C=O)cc3)nc(Oc3ccc(C=O)cc3)n2)cc1,NCC[S+]([O-])CCN
O=CCC(C=O)C(O)C=O,NCC[S+]([O-])CCN
O=Cc1cccc(Oc2nc(Oc3cccc(C=O)c3)nc(Oc3cccc(C=O)c3)n2)c1,NCC[S+]([O-])CCN
O=Cc1ccc(OCc2cc(COc3ccc(C=O)cc3)cc(COc3ccc(C=O)cc3)c2)cc1,NCC[S+]([O-])CCN
CCOC(=O)C(CC=O)(CC=O)CC=O,NCC[S+]([O-])CCN
CCc1c(C=O)c(CC)c(C=O)c(CC)c1C=O,NCC[S+]([O-])CCN
O=Cc1ccc(C(c2ccc(C=O)cc2)(c2ccc(C=O)cc2)C(F)(F)F)cc1,NCC[S+]([O-])CCN
CC[Si](C#Cc1c(C=O)c(C#C[Si](CC)(CC)CC)c(C=O)c(C#C[Si](CC)(CC)CC)c1C=O)(CC)CC,NCC[S+]([O-])CCN
O=Cc1ccccc1OCc1cc(COc2ccccc2C=O)cc(COc2ccccc2C=O)c1,NCC[S+]([O-])CCN
O=Cc1ccc(C=Cc2cc(C=Cc3ccc(C=O)cc3)cc(C=Cc3ccc(C=O)cc3)c2)cc1,NCC[S+]([O-])CCN
O=Cc1cc(C=O)c(O)c(C=O)c1,NCC[S+]([O-])CCN
O=Cc1ccccc1Oc1nc(Oc2ccccc2C=O)nc(Oc2ccccc2C=O)n1,NCC[S+]([O-])CCN
O=Cc1ccc(COC(=O)c2cc(C(=O)OCc3ccc(C=O)cc3)cc(C(=O)OCc3ccc(C=O)cc3)c2)cc1,NCC[S+]([O-])CCN
